ID,Title_CN,Fable_CN,Moral_CN,TOC
0,狐狸和葡萄,一只饥肠辘辘的狐狸，看见缠绕在高架上的葡萄枝挂着几串成熟的葡萄，就尽力向上跳，想要摘下那些葡萄。但无论他怎么努力，也是徒劳无功，因为他始终够不着那些葡萄。于是他放弃了，反而带着不屑一顾的样子走开了，边走边说："还以为那些葡萄已经熟透了呢，现在看来根本就是酸葡萄。",做人做事要实事求是，不可自欺欺人。,狐狸
1,下金蛋的鹅,有一对夫妇非常幸运，他们有一只每天下一枚金蛋的母鹅。尽管非常幸运，可他们很快就觉着财富增加得还不够快，不仅如此，他们还以为这只鹅的内脏肯定也是金的。于是，他们决定杀掉它，这样就能立刻得到全部珍宝了。然而，他们把鹅开膛破肚之后，却发现和其它鹅没什么两样。如此，他们既没有像当初希望得那样一夜暴富，也不能再享有财富与日俱增的好运气了。,贪多必失。,其他
2,猫和老鼠,从前，有一座房子，里面的老鼠泛滥成灾。一只猫听到此事，便自言自语："那正是我要去的地方。"于是她走到那座房子里住下来，一只接一只地抓老鼠，然后吃掉他们。最后，老鼠们再也无法忍受下去，决定躲到自己的洞里，再也不出来。"这还真不好办了，"猫自言自语道，"若想骗他们出来，只能耍个花招了。"她琢磨了一会儿，然后爬上墙，用后腿钩住木桩倒挂下来，假装已经死了。过了一会儿，一只老鼠向外窥探，看到了挂在那里的猫。"啊哈！"老鼠大叫，"夫人，你还真聪明，不过，就算你假装成一袋粮食挂在那里，你也骗不了我们去接近你。",如果有足够的智慧，面对那些曾认定的危险人物所假装出的无辜，你也不会上当受骗。,猫
3,恶狗,从前，有一条狗经常无缘无故地抓人、咬人，去他主人家做客的每个人都很讨厌他。主人在他的脖子上系了一个铃铛，以此提醒人们提防他的出现。这条狗对脖子上戴着的铃铛引以为傲，大摇大摆地戴着它走来走去，十分满意这种叮当声。但是，一条老狗却走过来对他说："我的朋友，姿态越低，对你越好。你不会真的以为这个铃铛是对你的奖赏吧？事实恰恰相反，它是耻辱的标志呀。",恶名常被误认为美誉。,狗
4,烧炭工和漂洗工,从前，有一个自力更生的烧炭工人独自在家工作。碰巧，一个漂洗工搬至隔壁，与他成了邻居。结识漂洗工后，烧炭工人经过了解发现，这个邻居将是一个很好的合作伙伴，就问漂洗工愿不愿意搬到他的铺子里一起工作。"那样我们会变得更加亲密，"烧炭人说，"不仅如此，我们还可以节省生活开销呢。"漂洗工却谢绝了他，回答说："我可不这样看，先生，因为不管我把衣服漂洗得多么白，都会立刻被你的木炭染黑了。",物以类聚人以群分。,其他
5,老鼠开会,老鼠们因为经常被猫袭击，对此感到十分苦恼。于是，他们在一起开会，商量用什么办法对付猫的骚扰，以求平安。几个建议相继都被否决之后，一只很有威望且经验丰富的老鼠站起来，说："我忽然想到一个办法，可以确保大家未来的安全，假如你们赞成的话，我们就这么办。这个办法是，我们应该在敌人的脖子上挂一个铃铛，猫走路时发出的叮当声，就会警告我们猫要来了。"他的提议受到了大家的赞同，都决定采用这个办法，就在这时，一只年长的老鼠伸出他的前爪，说："我也赞同这是一个绝妙的好办法，但是，我想问一下，谁去给猫系铃铛呢？",解决问题一定要有一个切合实际的方法。,老鼠
6,蝙蝠和黄鼠狼,蝙蝠落到地上，被黄鼠狼捉住了，就在快要被杀死、吃掉之前，他乞求黄鼠狼放了他。黄鼠狼说不能放了他，因为他向来是所有鸟类的敌人。蝙蝠说："噢，我根本不是鸟儿，只不过是一只老鼠。"黄鼠狼说："原来你是老鼠呀，现在我才看清你。"于是，黄鼠狼放走了蝙蝠。不久，蝙蝠又以同样方式被另一只黄鼠狼捉住了，像从前那样，他又求黄鼠狼放了自己。"不行，"黄鼠狼说，"我绝不放过任何一只老鼠。""可我不是老鼠呀，"蝙蝠说，"我是一只鸟儿。""哎呀，原来你是一只鸟儿呀，"黄鼠狼说着，也放走了蝙蝠。,见风使舵。,狼
7,狗和母猪,狗和母猪争辩，都说自己的孩子更加出色。"嗯，"母猪最后说，"至少我的孩子一生下来就能看见东西，你的孩子生下来却是个瞎子。","判定事物的好坏 ,不完全取决于速度 ,而要看本质的好坏。",狗
8,狐狸和乌鸦,乌鸦坐在树枝上，嘴里叼着一块奶酪。这时，狐狸在观察乌鸦，转动鬼脑筋想得到那块奶酪。于是，狐狸走过去，站在树下，仰起头说道："我的头上有一只多么高贵的鸟儿呀！她的美貌天下无双，她的羽毛精致纤美。要是她的声音也像外貌和羽毛那样美好，毫无疑问，她真该成为鸟类的女王！"听到这番恭维，乌鸦简直受宠若惊，一心只想着向狐狸炫耀一下自己的歌喉，就"呱"地大叫了一声。理所当然，她嘴里的那块奶酪就掉了下去，狐狸立刻抓起奶酪，说："乌鸦夫人，我知道你的歌喉很不错，可你需要的是智慧。",不要相信阿谀奉承者。,狐狸
9,马和马夫,从前，有一个马夫，常常花费几个钟头来为他负责照管的马修剪和梳理毛发，可是他却每天都会偷一部分喂马的燕麦，拿去卖了以谋私利。逐渐地，马的健康状况越来越糟糕，最后忍不住对马夫大叫："你要是真想让我看上去光滑闪亮，就应该少给我梳毛，多喂我燕麦。",打基础需要各类营养均衡，否则导致基础建设不良。,其他
10,狼和小羊,狼偶然碰见一只离群的小羊，似乎觉着平白无故杀死这么弱小无助的生命有点良心不安，于是他竭力寻找自己受过的各种委屈，最后说："小子，去年你可是侮辱过我。""这不可能，先生。"小羊低声说，"那时，我还没出生呢。"狼反驳道："嗯，你在我的牧场里吃草来着。""这更不可能啦，"小羊回答说，"我到现在还没尝过草的滋味呢。""那么，你喝过我的泉水。"狼继续编造借口。"说实在的，先生，"可怜的小羊说，"除了妈妈的奶水，我从没喝过其它东西呢。""好吧，不管怎么说，"狼说，"我总不能不吃晚饭。"于是，他扑向小羊，干脆痛快地把他吞了下去。,不公正的人不会听取无辜者的解释。,狼
11,孔雀与鹤,孔雀嘲讽鹤的羽毛色泽暗淡，她奚落道："看看我的羽毛，多么鲜艳华丽呀，比你那灰暗难看的羽毛强出百倍。""我不否认，"鹤说道，"你的羽毛比我的华丽，可是，要说到飞行能力，我翅膀上的羽毛能在空中翱翔，而你却只能像公鸡一样，在地上行走。",穿戴简朴而志趣高洁的人远胜于披金戴银而平庸凡俗的人。,其他
12,猫和鸟,有一只猫，闻言某处鸟舍里的鸟儿们全都生病了。于是，他便扮作医生，带着医生所使用的专业器具，装模作样地来到鸟房前，假装问候里面的鸟儿身体状况。"我们都很健康，"鸟儿们回答说，并没有让猫进去，"一看到你的大尾巴，我们就全好了。",骗子会伪装自己，但决骗不过聪明人。,猫
13,败家子与燕子,一个败家子因为挥霍无度而白白耗费了所有的财产。在一个早春的日子里，除了身上的衣服之外，已经别无所有的他，看到一只燕子。他心里想着，应该是夏天来临，可以不再需要身上的外套了。于是，他出去想卖掉外套，换点什么东西。不料，天气骤变，忽然降临的一场霜冻冻死了不幸的燕子。败家子看到燕子的尸体后，大喊道："可怜的小鸟！都是因为你，我才会也跟着挨冻呀。",一燕不成夏。,其他
14,老太婆与医生,有个老太婆，几乎因为眼疾而失明了，在咨询过医生之后，他们达成了协议：如果医生能治好她的病，她将支付高额费用；如果医生治不好她的病，她就分文不给。根据疗程计划，医生定期来她家里进行治疗，而且，每次来时总会顺手牵羊地偷走一些物品。终于，当他来做最后一次治疗时，老太婆家里的东西已经所剩无几了。虽然眼疾治好了，但是看到家里空荡荡的，老太婆便拒绝支付医疗费，几次三番地拒付之后，医生便起诉了老太婆，让法官帮他追讨欠款。被带到法官那里时，老太婆已经准备好为自己辩护了。她说："原告的确如实地陈述了我们之间的协议，我曾经许诺过，如果他能治好我的病，就会支付给他治疗费，而且，他也曾应允过我，如果治不好我的病，就分文不取。现在，他说我已经痊愈了，可是我认为我的眼睛比以前更瞎了，就此而言，我完全能证明情况属实。以前，当我的视力下降之后，尚且能看见家里的一些家具和物品，可是现在，当医生说我已经痊愈时，我却看不见任何东西了。","贪得无厌的人,总会不知不觉地留下自己的罪证。",其他
15,月亮和妈妈,有一次，月亮祈求妈妈给她做一件长袍。"怎么做呀？"妈妈回答说，"根本没有适合你的尺寸呀。你有时是新月，有时又是满月，而且你时常变化着。",从实际的角度考虑我们的愿望总是很好的。,其他
16,墨丘利和樵夫,有一个樵夫正在河边砍树，突然，就在他将斧子抽离树干的一刹那，斧子从他的手中滑落，掉进了水里。他站在水边悲叹那丢失了的斧子时，墨丘利出现了，问他为什么如此伤心。问清缘由之后，出于对樵夫的同情，墨丘利跳进河里，举起一把金灿灿的斧子问他，这是不是他丢失了的那一把。樵夫说这不是他丢的。于是，墨丘利又跳进河中，捞起一把银光闪闪的斧子，问他是不是这一把。"不是，这也不是我丢的。"樵夫回答道。墨丘利再一次跳进河里，捞起那把樵夫真正丢失了的斧子。看到失而复得的斧子，樵夫喜出望外，对墨丘利感激万分。然而，墨丘利也很赞赏樵夫的忠厚老实，就将另外两把斧子作为礼物送给了他。樵夫把自己的经历讲给同伴听，其中一个人十分羡慕他的好运气，决定也去碰一碰运气。于是，他也来到河畔砍树，并故意将自己的斧子丢入河中。墨丘利像以前一样出现了，知道樵夫的斧子落入水中之后，他像上次一样跳进河里捞起一把金斧子。还没等到墨丘利开口问他，这个人就大喊道："是我的，这就是我的斧子。"并且迫切地伸手想去拿那把斧子，但墨丘利对他的不诚实很气愤，不仅拒绝把金斧子送给他，而且还拒绝帮他寻找掉入水中的那把斧子。,正直诚实才是上策。,其他
17,驴、狐狸和狮子,驴和狐狸商量好一起去觅食。还没走出多远，突然看见一只狮子走过来，他们俩都吓得不得了。然而，狐狸却想出一条妙计，可以保全自己的性命。他立即跑到狮子面前，附耳小声地说："如果你答应放我走，我就能保证让你毫不费力地抓住那头驴。"狮子应允了他的提议，狐狸便引诱驴掉进了一个陷阱里，这是某些猎人为捕获野生动物而事先挖掘出的洞。狮子见驴已被俘获，再也逃不掉了，于是便转向刚才和他说话的那只狐狸，很快便抓住狐狸吃掉了，然后再慢慢地去享受陷阱里的驴。,背叛朋友，你也不会有好下场。,狐狸
18,狮子与报恩的老鼠,狮子在自己的窝里睡着了，却被一只跑到他脸上的老鼠吵醒了。狮子非常生气，用爪子抓住老鼠，准备弄死他。战战兢兢的老鼠请求狮子饶了他的性命。"求你放了我吧，"老鼠哭喊道，"我肯定会报答你的恩情。"一个不足挂齿的小生命肯为自己做任何事，狮子被如此无意义的想法逗笑了，便随和地放他走了。不久，老鼠报恩的机会终于来了。有一天，狮子被猎人们布好的大网缠住了，愤怒地大吼起来，老鼠听到了狮子的哀嚎，迅速赶来。老鼠轻松地走过去开始噬咬绳索，很快就成功地放走了狮子。老鼠说："看吧！当我许诺要报答你时，你还嘲笑我；现在你可看到了，即便一只小老鼠也能帮助一头大狮子。",即使一个人微小，也能够做出大事，报答他人恩情；不要看轻别人，要相信他们也有能力成就自己。,老鼠
19,乌鸦和水罐,一只口渴的乌鸦发现了一个大水罐，虽然里面没有多少水，但毕竟也能解解渴，于是她想尽办法用自己的长喙去接触水面，然而，尽管救命之水就在跟前，可她却无能为力。最后，她想出一条妙计。乌鸦开始用嘴叼着石子投到水罐里，每丢进去一粒石子，水面就会上升一点。终于，水面上升到了乌鸦的嘴边，她高兴地喝到了水，解了口渴。,需求是发明之母。,其他
20,男孩和青蛙,几个淘气的孩子在水池边玩耍，浅水中正在游泳的几只青蛙映入了他们的眼帘，他们便用石头去打青蛙，以此作为消遣娱乐。甚至于，他们还打死了几只青蛙。最后，一只青蛙从水中伸出头来，说："住手！住手！求你们不要再打了。对你们来说，这是一个活动，可是对于我们来说，却是致命一击啊。",人们应该学会尊重他人，懂得保护他人的权利，不要肆意破坏他人的生活环境。,青蛙
21,北风与太阳,北风与太阳争论不休，双方都在强调自己的能量更大。最后，他们一致赞同在一个行人身上试验自己的力量，看看谁能够最快速地让行人脱下衣服。北风先开始发威，他用尽全身力气攻击行人，猛烈的旋风向着行人袭来，并且拖住他的衣角以便使行人身上的衣服自行脱落；然而，风吹得越猛烈，这个行人越是紧紧裹住了自己的衣服。接下来，该太阳上场了。太阳开始温和地照耀着行人，行人很快就边走边解开衣服上的扣子，将其松散地搭在肩上；接着，太阳强烈地发光射向大地，已经走了很久的行人开心地脱掉衣服，轻装上阵。,温和的说服胜于蛮横的武力。,其他
22,女主人和仆人,一个寡妇，既节俭又勤劳，她对两个仆人的要求也相当严厉。每当公鸡一打鸣，这个老女人就叫她们起来去干活，不让她们多睡一会儿。仆人们都不喜欢在这么早的时间起床，尤其是在冬天里，她们以为，若是那只公鸡不在这么早的时候叫醒女主人，她们还能多睡一会儿。于是，她们捉住公鸡，拧断了它的脖子。但是，她们并没有预料到更严重的后果。女主人听不到公鸡的叫声了，却比往常更早地叫醒她们，在半夜里就让她们去干活。,聪明反被聪明误。,其他
23,善与恶,世界形成之初，善与恶平等地并存于人心，这样一来，善不曾受称赞，恶也不曾遭唾弃。但是，由于人类的愚蠢，恶开始成倍增加，其力量也相继强大起来，后来似乎要剥夺所有善应占有的份额，将其驱逐出地球。因此，力量弱小的善努力回到了天上，向朱庇特（即宙斯，罗马神话中的主神）抱怨自己的遭遇，同时祈请他同意自己对恶的防卫，并且还征询重返人间的建议。朱庇特同意了他们寻求庇护的请求，并且还下令让他们将来不要公然地进入人间，因为这样易于受到心怀敌意的邪恶攻击，而是要逐一悄然地回归，不要太频繁，应在人们的意料之外。由此，这个地球上充满了邪恶，因为他们可以随意地往返，而且永远不会远离人类，而善则只能一个一个地来，他们要想方设法地从天上下来，必须悄悄地，才能不被发现。,人很不容易遇到善，却每日为恶所伤害。,其他
24,野兔与青蛙,有一次，众多野兔聚集在一起，哀悼自己的不幸命运，方方面面都遭遇危险，而他们却缺乏勇气和力量去掌握自己的命运。人、狗、鸟类和猛兽等都是他们的敌人，整日屠杀吞噬他们。一想到要忍受这样的迫害，他们都认为还不如一死了之呢。于是，他们下定决心、不顾一切地来到附近的池塘边，准备投水自尽。有一群青蛙正围坐在池塘边，听到兔子们那急促的跑步声后，青蛙们立即纷纷跳入水中。兔子中，有一只年长的兔子比同伴们聪明一些，"朋友们，快停下来，我们应该振作起来，不要再自寻短见了！你们看，这里还有一些害怕我们的动物呢，他们肯定比我们更胆小！","不要因为一些不愉快和挫折就去逃避,适当的时候我们可以想想还有很多不如我们的人,我们应该努力,改正自己的不足,增加自信感。",青蛙
25,狐狸与鹤,狐狸请鹤来吃晚饭，然而他所款待客人的，仅仅是一个大平底盘子里盛的一点汤。狐狸津津有味地舔食平盘里的汤，而鹤却无法用他那长喙吸食香喷喷的浓汤。鹤十分气恼，这让狡猾的狐狸十分开心。然而，没过多久，鹤回请狐狸吃饭，他在狐狸面前摆放了一只颈长口小的罐子，可以让鹤轻易地将长嘴伸进去。这一次，当他从容地吃着罐子里的食物时，狐狸却只能眼巴巴地看着，因为他根本无法够到罐子里诱人的饭菜。,如果你不尊重别人，别人也不会尊重你。,狐狸
26,披着羊皮的狼,为了不被察觉地捕食一群羊，狼下定决心要伪装自己。于是，他披上了一身羊皮，趁羊群在牧场里游荡时悄然混进去。他完全骗过了放羊倌，晚上羊群被关进栏里时，他也被一起关了进去。但是，就在那个晚上，牧羊人想要吃羊肉了，于是把手放在披着羊皮的狼身上，一刀就杀了他。,只要一个人做了坏事，无论他的手法多么高明，迟早都会大家所发现。,狼
27,牛棚里的雄鹿,一只雄鹿被猎狗赶出了巢穴，只得躲进一个农家小院里。他闯进了一个满是公牛的牛棚里，拼命挤进空牛栏的干草堆中，藏了起来，但是他的鹿角却一直露在外面。不久，一头公牛对他说："是什么原因让你到这里来自投罗网呢？待在这里很危险，会被牧人抓走的，你知不知道？"雄鹿回答说："求求你，就让我在这里待一会儿吧。当夜幕降临后，我就能有机会在黑暗中逃走了。"整个下午都很平安，虽然有几个雇工来牛棚照料牛群，但是没有一个人注意到雄鹿的存在，雄鹿一边暗自庆幸可以平安逃走，一边对公牛表示感激。"我们都希望你能平安，"先前曾和雄鹿讲话的那头公牛又开口了，"但是，你还没有完全脱离危险。如果主人来了，你可能就会被发现，因为没有什么能逃出他的眼睛。"正说着，农场主来了，开始抱怨工人没有好好照料牛群。"牲口都饿着呢，"他大喊道，"这里再多加点干草，要给他们足够的铺垫。"他一边说着话，一边查看着雄鹿躲身的干草堆，立刻就认出了雄鹿。于是，他叫来帮工，立刻抓住雄鹿并杀死它美餐了一顿。,"在逃避一种危险时,不要忽视另一种危险。",其他
28,挤奶女孩和她的桶,一个农场主的女儿挤完牛奶后，头顶着一桶牛奶，从田野里走回农庄。她边走边开始想入非非："从这桶牛奶里可以得到奶酪，也能得到奶油，就可以拿到市场上去卖。用卖得的钱，我还可以买回一些鸡蛋。这些鸡蛋还可以再孵出成群的小鸡。如此算来，我就能拥有一个大型的家禽场了。然后，我再卖掉那些牲畜，用卖得的钱，我就能买一条漂亮的长裙子，可以穿着到集市上去；年轻的小伙子们都会赞美裙子，都会过来向我示爱，而我却要摇摇头，什么也不说。"想到这里，她完全忘记了头顶上的桶，配合着自己的想法，她真的摇起头来。结果，头顶上的牛奶桶掉在了地上，所有的牛奶都洒出来了，她的美妙幻想也随之消失了。,不要高兴得太早。,其他
29,海豚、鲸和西鲱鱼,海豚与鲸争吵起来，他们之间已经争斗了很久。战争进一步升级，并且越打越猛烈，根本没有一点要停的迹象，有一条西鲱鱼认为自己或许能够调停他们的战争，便过去准备劝他们停止争斗，成为朋友。但是，海豚轻蔑地对他说："我们宁可争斗到同归于尽，也不会让一条像你这样的西鲱鱼来调解！",在帮助别人的时候要看自己的能力，还要看不同的环境和事件去帮助。,其他
30,狐狸和猴子,狐狸与猴子同行，一路上都在争吵谁的家世更高贵。他们各自坚持着夸耀自己，边说边来到一个路边满是墓碑的地方。这时，猴子停下来，四处观望，然后放声大哭。"你为什么这样呀？"狐狸忙问道。猴子指着那些墓碑，说："你在这里看到的所有墓碑都是我祖先的荣誉，他们当时可都是杰出的人士！"狐狸沉默了一会儿，但是很快就反驳道："噢！接着吹吧，先生，不会有人揭穿你的------我相信，他们之中没有人能站起来反驳你。",谎言无法被揭穿时，吹牛者便会夸夸其谈。,狐狸
31,驴和哈巴狗,有人养了一头驴和一只哈巴狗。驴被圈养在棚子里，虽然不愁温饱，有着足够的燕麦和干草供应，却每天都要尽驴子应尽的本分。小狗颇会讨好它的主人，而主人则经常抚摸它，让它坐在自己的膝盖上。假如主人出外吃饭，还会想着带一点好吃的回来，等见到小狗时给它作为奖励。驴子的确是工作繁重，他不仅要到磨坊里拉磨，还要去树林里驮木材。与哈巴狗的悠闲自在相比，驴子难免会心生嫉妒，怀有怨言。有一天，机会终于来了，驴子挣断缰绳，跑进主人的房间，模仿哈巴狗的样子围着主人跳舞，又蹦又踢，不仅撞翻了桌子，还把碗碟摔得粉碎。不仅如此，驴子甚至还试图跳到主人的膝盖上，因为他经常看到小狗如此。仆人们见此情景，都吓坏了，以为主人面临着危险，于是用棍棒把驴子赶回棚里，打了个半死。"唉！"他哭喊着，"我这不是自作自受吗，我为什么不满足于自己的现状和地位，偏要去模仿小哈巴狗那无用、滑稽的小丑样呢？","每一个人都有各自的特点,都有适合自己的工作,也有不适合自己的工作,与其盲目地模仿别人,不如专心致志干好自己的本行。",狗
32,冷杉与荆棘,一棵冷杉树用轻蔑的口吻对着荆棘夸口道："你这可怜的东西，一点用处也没有。你看看我，我可是对万物都有益处，尤其是当人类要盖房子的时候，没有我根本就不行。"但是荆棘回答："是啊！那的确很好。不过，等到他们拿着斧头和锯来把你砍倒时，你就会希望自己是荆棘，而不是冷杉树了。",宁可贫穷而无人问津，也不要富贵而责任缠身。,其他
33,抱怨太阳的青蛙,有一次，太阳想给自己找个老婆。青蛙们惊恐地冲着天空大喊，朱庇特听到吵闹声，就问他们在冲着谁哇哇乱叫。他们回答说："即便是单身，太阳已经够坏了，几乎晒干了我们的沼泽地，要是他再结了婚，并且再生下一个小太阳的话，我们该怎么办呀？","毫无根据的抱怨,只会惹人耻笑。",青蛙
34,狗、公鸡和狐狸,一条狗与一只公鸡成了朋友，他们准备一起去旅行。到了晚上，公鸡一跃跳到树枝上栖息，而狗则蜷缩在下面空洞洞的树干里过夜。天将破晓时，公鸡像往常一样啼叫起来。一只狐狸听见了鸡叫，想以鸡肉作为自己的早餐，便跑来站在树下，请公鸡下来。"多么美的嗓音啊！"他说，"我很高兴能认识一位声音悦耳动听的公鸡。"而公鸡则回答说："你能先叫醒树洞里那个看门的吗？只要他一开门，我就可以下来。"狐狸立刻跑去叫门，里面突然跳出来一只狗，把他咬住撕碎了。,害人终将害己。,狐狸
35,蠓虫和公牛,一只蠓虫偶然发现了公牛头上的角，便停留在上面很长一段时间。等他歇够了脚，准备飞走时，对公牛说："我现在飞走，你不介意吧？"公牛仅仅抬眼看了看，不感兴趣地说："对我来说都一样。我甚至都没有注意到你过来，当然也不想知道你什么时候走。",我们经常自视很重要，可别人往往不这样看。,其他
36,熊和旅人,两个朋友一同出游，途中突然遇到一只大熊。还没等熊看到他们，其中一个立即闪电般地抢先爬上树，躲了起来。而另一个眼见逃生无望，便灵机一动躺倒在地上，假装死了。熊走到他跟前，用鼻子在他脸上嗅了嗅，转身就走了，但他依然屏住呼吸、安然不动，因为他们听说，熊从来不碰死人。熊还真把他当成了死人，径自走开了。躲在树上的人下来后，问躺在地上的朋友，熊在他耳边说了些什么。那人委婉地回答说："熊告诉我，今后千万注意，别和那些不能共患难的朋友一起同行。",不幸可以考验友谊的真诚。,其他
37,奴隶和狮子,一个奴隶因不堪忍受主人的残暴虐待而逃跑了，为了避免被抓住，他逃进了沙漠中。正当他思忖着该如何寻找食物和栖身之地时，来到了一个洞穴前，他走进去看了看，空无一人。然而，这是一个狮子的巢穴，就在这时，狮子出现了，可怜的逃亡者吓呆了。他认定自己无处可逃，然而，完全出乎他的意料，狮子不但没有扑过来吃掉他，反而过来巴巴地讨好他，一边哭诉着，一边抬起自己的爪子。看到那个爪子又肿又胀，还在发炎，逃亡者认真地检查了一下，发现有一根刺深嵌入狮子的脚掌里。他慢慢地拔出了那根刺，尽可能地处理好伤口，过了一阵，伤口自然就痊愈了。狮子对他感激不尽，将他当成了自己的朋友，从此他们一起分享这个洞穴。过了一段时间，有一天，奴隶开始渴望回到人类的社会生活中，他向狮子告别，然后回到镇子上。他一出现，立刻就被认出来，接着就被带上镣铐，送到了前主人那里。主人惩罚了他以示警戒，并且还命令道，在下次马戏表演时应该把他扔给野兽。就在性命攸关的那一天，野兽都被释放进竞技场后，其中有一头体态肥硕的狮子，跑到他跟前，带着喜爱和高兴的表情趴在他脚边。这正是他在洞里生活时的老朋友！观众都嚷嚷着应该饶了这个奴隶的命，镇子上的官员也惊讶于一头野兽的感恩与忠诚，下令让奴隶和狮子都获得自由。,只要你有爱心、慷慨大度和坚强意志，就会结交到忠诚可靠的朋友，可以获得无尽的帮助，共同实现目标。,其他
38,跳蚤和人,一只小跳蚤咬了一个人，并且一次又一次地不停咬他，这个人再也忍受不了了，全身上下找了一遍之后，终于抓住了那只跳蚤。他用食指和拇指捏着跳蚤说，或者可能因为生气，几乎是怒吼道："你是谁？你这个让人厌恶的小生命，为何在我身上如此放肆？"受了惊吓的跳蚤小声呜咽道："哦，先生，求你饶了我吧，千万别捏死我！我就是一个小东西，不会给你带来多大伤害的。"然而，那人笑着说："我现在就要杀死你，马上执行，只要是坏东西，就一定要被消灭，无论造成的伤害有多轻微。",不要在无赖身上浪费同情心。,其他
39,蜜蜂与朱庇特,一只来自伊米托斯山的蜂王飞到奥林匹斯山上，将蜂巢里刚产出的新鲜蜂蜜当做礼物送给了朱庇特，朱庇特很喜欢这份礼物，便答应满足她的任何请求。蜂王说，如果能赐予蜜蜂们蜂针，从而能够惩治那些偷走蜂蜜的人，她就不胜感激了。朱庇特听到她的请求很不高兴，因为他爱着人类；但是他必须得履行诺言，于是他说可以让蜜蜂拥有蜂针。然而，他赐予蜜蜂的针却是一种特殊的刺，只要刺一回人，蜂针就会折断，蜜蜂自己也会随之而死。,恶意总会有恶报。,其他
40,橡树与芦苇,一棵长在河边的橡树被一阵狂风连根拔起，并且被甩到了河对岸。橡树掉入了水边的芦苇丛中，于是对芦苇说："我这么强壮，都能被狂风连根拔起、落入水中，而你们如此脆弱纤细，究竟是如何渡过难关的？""你太顽固了，"芦苇回答道，"总爱逆风对抗，可是风却比你更厉害；而我们甚至对微风也卑躬屈膝，所以强风才会无害地吹过我们的头顶。",适者生存。,其他
41,盲人与小野兽,从前，有一个人眼睛虽然瞎了，可是他精于触觉，只要用手摸一摸，凭借着触感便能说出这是什么动物。有一天，一只小狼崽被送到了他的手中，请他告知这是什么东西。他用手摸了一会儿，然后说："我不太确定，这到底是一只小狼崽，还是一只狐狸的幼崽，但是有一点我十分确定，千万不要让它进羊圈。",恶劣的本性从小便知。,其他
42,男孩和蜗牛,一个乡下少年到处寻找蜗牛，当他双手都塞满了蜗牛后，就准备点火烤着吃。火点着了，蜗牛也开始感觉到热了，他们纷纷退向坚壳的深处，同时还发出"咝咝"的噪音。男孩子听到了蜗牛发出的嘘声，便说："你们这些连命都快没有了的家伙，怎么还能有心情在窝里着火时吹口哨呢？",不应该去伤害并嘲笑那些弱小。,其他
