ID,Title_CN,Fable_CN,Moral_CN,TOC
91,铁匠与小狗,铁匠家有一条小狗，小狗常常在主人打铁时睡觉，但是一到了吃饭时间，便异常清醒起来。有一天，铁匠假装对此很生气，一边像往常一样扔给小狗一块骨头，一边说："地球上还有像你一样懒惰的坏蛋吗？你这家伙，总是在我卖力工作时，蜷缩起来睡觉，可是，只要我一停下来吃点东西，你就清醒地摇着尾巴过来讨饭吃。",不卖力工作的人理应挨饿。,狗
92,池边的雄鹿,一只非常口渴的鹿，跑到池塘边去喝水。当他在池边俯下身去喝水时，看到了水面上自己的倒影，一边得意洋洋地欣赏着自己那完美修长的鹿角，一边又为自己的小细腿而闷闷不乐。正当他看得入神时，被一头看见他的狮子袭击了。他拼命地向着空旷、没有树木的平原跑去，很快就摆脱了身后的追逐者。可是，当他跑进一片树林中时，眼看着那美丽的鹿角就被挂在了树枝上，终于被跟踪而来的敌人擒获，成了狮子的美味佳肴。"真是不幸呀！"鹿在临死前哀叹道，"我小瞧了自己的腿，可是它们却救了我的命；我以自己的角为傲，可是它们却葬送了我的性命。",最值得的东西往往被视为最没价值的。,其他
93,叼着肉的狗,一条狗嘴里叼着一块肉，在穿过小河上的一个木板桥时，碰巧看见了水中自己的倒影。他以为是另一条狗叼着一块更大的肉，于是，他扑到水中，想去抢另一条狗嘴里那块更大的肉。然而，他最终什么也没有得到。因为水中那块肉本来就只是个影子，而原来的那块肉也被河水冲走了。,不要追求那些不可能实现的事情，有时候我们更应该珍惜自己拥有的一切。,狗
94,墨丘利与商人,朱庇特在创造人类时，吩咐墨丘利制造一点让人说谎的药，并添加到其他要素上，从而形成商人。墨丘利遵命研制好药之后，依次平均地添加到每种生意人身上------卖蜡烛的商贩、卖蔬菜瓜果的商贩、卖杂货的商贩等。最后轮到了马贩子，这是最后一个要添药的商人了，但是墨丘利却发现还剩下很多药，于是，他便将剩余的药全部加在了马贩子身上。这正是商人多少都会说谎的原因，尤其是马贩子更为厉害。,比起其他商人，马贩子更容易说谎。,其他
95,老鼠和黄鼠狼,老鼠和黄鼠狼打起仗来，老鼠每次都处于劣势，大量老鼠都被黄鼠狼杀死并吃掉了。于是，他们召开了一次战事会议，其中，一个年长的老鼠站起来发言："毫无疑问，我们总是被打败的一方，因为没有统领来规划我们的战斗，在战场上指挥我们的行动，所以才会屡次失败。"根据他的建议，老鼠们推选出那些个头大的老鼠作为带队将领，并且，为了在老鼠群中区分这些将领，还让他们戴上用草编成的头盔。然后，老鼠带着必胜的信心再次投入到战斗中。可是，他们依旧被打败了，鼠群纷纷逃回洞中。除了那些将领之外，所有老鼠都轻易地逃进了洞里，因为头盔妨碍他们钻进小小的老鼠洞，所以将领们都被黄鼠狼吃掉了。,伟大的形象也要付出代价。,狼
96,孔雀和朱诺,因为自己没有夜莺那悠扬动听的歌声，孔雀大为不悦，于是跑到朱诺面前抱怨。"所有的鸟都羡慕夜莺的歌声，"她说，"但是，只要我一开口发声，就成了大家的笑料。"女神朱诺为了尽量安慰她，说道："你的确没有唱歌的优势，但是你却有着超凡的美丽外表。你的脖子闪耀着绿宝石一样的光辉，你那开屏的尾巴更是华丽富贵、光彩照人。"然而，孔雀仍旧不满足。"我的声音那么难听，"孔雀说，"美丽又有什么用呀？"朱诺接着回答说："命运赋予了每个人不同的礼物------赋予了你无比的美丽，赋予了老鹰强大的力量，赋予了夜莺优美的歌声，以此类推下去，所有生命都有着各自的特征，而你却不满足于自己所拥有的。不要再抱怨了，因为如果你当下的愿望得到了满足，很快你又会找到另一个不满足的借口。",要满足当下，并尊重命运赋予你们的独特能力，不要再抱怨与他人相比自己所拥有的优势不多，因为你永远无法得到所有的，如果你得到了你所需要的，你可能会再找到新的不满足的原因。,其他
97,熊与狐狸,有一只熊曾经大肆鼓吹自己多么仁慈，与其它动物相比，自己是多么文雅。（其实，绝不碰死人是熊的一贯传统。）一只狐狸听到这些话，面带微笑地对熊说："我的朋友，当你饥饿难耐时，我希望你也能将注意力集中在死人身上，不再吃活人了！",骗子只会掩耳盗铃似的欺骗自己。,狐狸
98,驴和老农夫,一位老农民正坐在草地上看驴，驴被紧紧盯着。突然农民看到全副武装的人们走近，便立刻跳了起来，恳请驴跟他一起尽快飞走。"否则，"他说，"我们便会被敌人逮住。"驴只是懒懒地看了看，便说："如果这样的话，你不认为他们会让我驮更重的东西？""不，"主人说。"哦，那么，"驴说，"我不介意他们把我抓走，我再也不会比现在更糟了。",当我们面临危机时，如果不积极主动改变，我们可能会处于更糟的境地。,驴
99,牛和青蛙,两只小青蛙在池塘边玩耍时，一头公牛走到水边去喝水，结果不小心踩扁了其中一只小青蛙，使其当场毙命。青蛙妈妈发现小青蛙不见了，便问另一只小青蛙，他的兄弟到哪里去了。"妈妈，他死了。"小青蛙说，"今天上午有一个长着四只脚的巨型怪物来到水塘边，把我的兄弟踩进了泥巴里。""巨型兽？是不是这么大？"青蛙妈妈一边问，一边尽力鼓气，让自己尽量变大一些。"嗯，是的，比这还要大。"小青蛙说。青蛙妈妈再鼓了鼓气，问道："是不是这般大小呢？""对，妈妈，比这个还要再大一些。"小青蛙说。于是，青蛙妈妈又使劲鼓气，几乎快成了一个圆球。"有这么大......"还没等她说完，就把肚子胀破了。,自量力的人，最终会惨遭失败。,青蛙
100,人和神像,一个穷人在家里供奉了一尊木头神像，天天对着神像祈祷让自己发财。持续了相当一段时间后，他依旧像过去那样贫穷。有一天，这个人带着极度的愤怒抓起神像，用尽全力冲着墙壁扔过去。强大的撞击力打破了神像的头，一些金币纷纷掉在了地板上。这个人贪婪地抓起金币，说："哦，你这个大骗子！我好好供奉你的时候，你却什么都不给我；等我用暴力对待你的时候，你却让我成了富翁！",不要依赖外力，要靠自己努力才能获得成功。,其他
101,赫刺克勒斯和车夫,有一个车夫驾着一辆载着货物的马车，正当他沿着乡间小路前进时，车轮突然深陷入泥坑中，拉车的马无论如何也挪不出车轮来。车夫站在那里，无助地四处观望，大声呼喊着大力神前来帮忙。大力神赫刺克勒斯终于出现了，对他说："先用你的肩膀顶住车轮，再用鞭子赶你的马，试着这样做了之后，再来祈求我的帮助。如果你不能先自助，就不能期望大力神或其他人来帮你了。",自助者，天助之。,其他
102,石榴树、苹果树和野蔷薇,石榴树与苹果树为谁的果实质量最好而争吵不休，双方都认为自己的更好。愤怒的话语相继从他们的嘴里脱口而出，激烈的争吵马上就要升级了，这时，野蔷薇嬉皮笑脸地从隔壁篱笆丛中探出头来，说："够了，朋友们，我们不要再争吵了。",寓意是：保持和平、友好、尊重他人。,其他
103,狮子、熊和狐狸,狮子和熊同时抓到了一只小羊羔，他们俩为争夺小羊羔凶狠地打了起来。经过一场苦斗，双方都受了重伤，有气无力地躺在地上。一只狐狸早已躲在远处观望着，一见他们俩都直挺挺地躺在地上虚弱地一动不动，他便溜过去抓起羊羔，一溜烟地跑掉了。狮子和熊眼睁睁地看着狐狸抢走了小羊羔，却也毫无办法，只能唉声叹气地说："我们俩斗得两败俱伤，却让狐狸得到了好处！",这篇文章的寓意是：不要因为小利把自己弄得不健康，否则可能会让他人从中受益。,狐狸
104,两个士兵和强盗,两个士兵一起赶路，途中被一个强盗所劫。其中一个士兵马上逃跑了，另一个则勇敢地握着剑立在原地，强盗不得不弃他而逃。这时，那个胆小的士兵跑过来，抽出剑，壮着胆大喝一声："他去哪里了？让我来对付他，我要让他知道面对的是什么人。"然而，那名勇敢的士兵说："你来晚了，我的朋友。要是你刚才能来帮我就好了，即便只是嘴上这样说也好，因为我会受到你这番话的鼓舞，并且相信这些话都是真的。而现在，还是请你把剑收好，已经没有必要再用它了。你只能欺骗其他人，让人们以为你像雄狮一样勇敢；而我却知道，在遇到危险时，你会像兔子一样落荒而逃。",本文的寓意是：勇敢的行为比谎言更能彰显一个人的英勇，表达压力下也会表现出自己真正的性格。,其他
105,狮子和野驴,一只狮子和一头野驴联合外出觅食------野驴能以超快的速度追赶猎物，而狮子则能迅速赶来捕获猎物。他们成功地抓获了猎物，然后，狮子把猎物分成了三份。"我来拿第一份，"狮子说，"因为我是百兽之王；第二份也归我，因为作为你的合作者，我理应分享剩下的一半；至于这第三份，除非你自愿让给我，然后乖乖地滚开，否则你一定会为此而抱憾终身！",强者为王。,驴
106,人与森林之神萨堤罗斯,从前，有个人与森林之神萨堤罗斯成了朋友，他们决定一起生活。在一段时间内，一切都很顺利，直到冬季里的一天，萨堤罗斯看到那个人把手放到嘴边不断地呵气。"你为什么要这样做？"他问道。"为了暖和我的手呀。"那人回答道。就在同一天，他们坐下来一起吃饭，每人面前都摆着一碗热气腾腾的粥，那人举起碗来对着嘴又开始吹气。"你为什么要这样做？"森林之神又问他。"为了让粥凉下来。"他说。森林之神立刻站起来，说："再见，朋友！我要走了，我无法和你这样的人交朋友，因为你的嘴里一会儿吹热气，一会儿又吹冷气。",这篇文章的寓意是：对于一个人，要保持立场的一致性，而不要反复无常，这样才能保持良好的友谊。,其他
107,卖神像的人,有个人用木头雕刻了墨丘利的像，拿到市场上去卖。因为没有一个买主前来光顾，他便认为自己应该大声叫喊，以此吸引人前来购买。于是，他冲着市场里大喊："卖神像了！卖神像了！一个能给你带来好运并维持好运的神像！"这时，旁边的一个人对他说："喂，朋友，如果你的神像真如你所说，那你为何不自己留下他，好好享受他给你的好运呢？""告诉你吧，"这个人回答道，"他的确能让你有所收获，这是真的，但是需要时间，而我则希望能马上得到钱。",寓意是：有时候，我们想要立刻获得回报，而不是等待慢慢收获。,其他
108,老鹰与箭,鹰站在一块高高的岩石上，用锐利的目光观察着猎物。一个猎人躲藏在山间的裂缝中观察情况，看到鹰之后，一箭射中了他。那箭直插入鹰的前胸，并且破膛而出。受着死亡苦痛折磨的老鹰，转眼又看到了带着鹰毛的箭翎。"啊！命运真残酷！"他哭喊着，"竟然让我这样死去，不过，更为残酷的是，杀死我的箭上竟然还插着鹰的羽毛！",本文寓意是：即使你被自己所珍视的东西所杀害，命运也可能会变得更加残酷。,其他
109,富人和制皮匠,一个富人与制皮匠比邻而居，发现皮匠院子里传出的气味实在让人受不了，便告诉皮匠请他搬家。制皮匠一直在拖延，富人重复说了好多次让他快点搬家，皮匠每次总是说马上就搬，却老是不采取行动。就这样持续了一段时间，富人已经闻惯了皮革的臭气，也就不再非难制皮匠了。,寓意是：不必总是强行催促别人，因为最后的结果你也无法改变。,其他
110,狼、妈妈和孩子,一只饥饿的狼四处寻觅食物。走着走着，他被小孩子的哭声吸引，来到了一个农舍。他在窗下屏息而立，只听到母亲对小孩子说："别哭了，不然我就把你扔出去喂狼。"狼信以为真，以为她真会这样做，便站在门外等着，期待着快点能满足自己的食欲。直到傍晚来临，他又听见母亲在哄小孩子："要是狼真的来了，爸爸就会杀死他的。"狼听了这话后，气愤地赶紧跑开了，他边跑边想："那个房子里的人说的话，一句也不能信。",本文的寓意是：说话要谨慎，不可以轻信他人的言语；信以为真的后果可能是致命的。,狼
111,老太婆和酒瓶,一个老太婆捡到一个空酒瓶，这个瓶子曾经装过价格不菲的稀世美酒，依然还带着浓浓的酒香。她把酒瓶放在鼻孔处，一次又一次贪婪地吸着酒香，并说："啊，多么甜美！连装过酒的空瓶都能留下这样甘美难忘的香味，那瓶子里的酒还真不知道会多么甘美醇香呢。",这篇文章所传达的寓意是：珍贵的东西哪怕只是剩余的香味，都会带给我们难忘的美好回忆。,其他
112,母狮与雌狐,一头母狮与一只狐狸在闲聊自己的孩子，出于母亲的美好愿望，她们都在说自己的孩子多么健康，多么茁壮，多么美丽，多么像自己的父母。"看到我产下的小幼崽，真让人高兴，"狐狸说，接着她又不怀好意地说，"但是我注意到你从未生过两胎或更多的幼崽。""没有，"母狮面无表情地回答道，"可我生下的毕竟是一只狮子。",注重质量，而非数量。,其他
113,毒蛇和锉刀,有条毒蛇爬进铁匠铺里，从一个工具到另一个工具，祈求能给他点可以吃的东西。其中，他向锉刀请求施舍，给他一顿饱餐。可是，锉刀却带着不屑的语气说："你若想从我这里得到东西，那你真是太傻了，我历来只会索取，不会回报。",贪婪之人是最小气的施予者。,其他
114,猫和公鸡,一只猫抓到一只公鸡，并想方设法找出一个借口好吃掉他，因为不吃鸡是猫的一贯传统，而她也知道自己不应该吃鸡。最后，猫说："你总在夜晚打鸣，让人们不能好好睡觉，所以，我要吃掉你。"但是，公鸡却辩解说，自己为了人们的利益而叫醒他们，可使人们按时起床工作，若是没有了鸡，人们就无法准时起床工作了。"有点道理，"猫回答说，"不过，不管他们能不能准时开始工作，我总不能没有饭吃。"于是，猫就吃掉了公鸡。,带有好借口的欲望，永远不会让坏人免于恶行。,猫
115,野兔与乌龟,有一天，兔子嘲笑乌龟用脚爬得太慢了。"那又怎么了，"乌龟说，"总有一天我会和你赛跑，并且还能赢了你。""噢，好吧，"兔子回答，认为乌龟的这个想法太搞笑了，"我们比比看"。他们很快便商定好了比赛的时间和地点，并且让狐狸来设定比赛过程，兼做裁判。比赛一开始，兔子很快就跑到了前面，他觉着自己应该休息一下，于是便躺在路旁睡着了。此时，乌龟正不停地朝前奔跑，并且最后还实现了自己的目标。兔子醒来后，用最快的速度猛劲向前跑，可是却发现乌龟已经取得了比赛胜利。,慢而稳健，这才是制胜法宝。,其他
116,士兵和战马,战争期间，一个士兵用充足的燕麦精心喂养他的马，希望身强体壮的马能够在需要时，驮着主人在地形艰险的战场上快速奔跑，从而免于危险。然而，战争一结束，战马便被拉去服苦役，不仅得不到主人的关爱，而且除了糟糠之外，再也没有其它饲料了。不久，战争又爆发了，士兵备好马鞍、套上缰绳、穿上厚重的铠甲，全副武装地准备骑着马去迎敌。这时，马却毫无力气，不断摔倒，他对主人说："这次，你可要亲自跑着赶赴战场了，都是因为繁重的劳役和廉价的饲料，让我从一匹战马变成了一头驴，你怎么还能把我当战马骑呢？",寓意：不论是和平还是战争，对于生命应该总是给予充足的关爱和照顾。,其他
117,公牛和屠夫,有一次，公牛想报复屠夫，因为他们在屠夫那里遭受蹂躏，被分成若干等级，并且等待着某一日被屠宰。他们聚集在一起商讨如何执行报复计划，其中那些比较暴躁的公牛为了这场战争已经磨好了自己的尖角，准备战斗。这时，一头年长的老公牛站起来，说："兄弟们，我知道，大家确实有理由憎恨屠夫，但是从某种程度上讲，他们明白自己的职责，已经尽可能地减少了我们的痛苦。然而，倘若我们杀死了屠夫，就会让那些没有经验的人来宰杀我们，给我们增添更多痛苦。你们要知道，即便所有的屠夫都死了，但人类总是要吃牛肉的。",这篇文章暗示我们，只要我们面对困境，即使有报复的冲动，也要深思熟虑，评估报复行动带来的风险，再决定是否去行动。,其他
118,狼和狮子,一次，狼从羊群中抢走一只羊，正叼着小羊往回走时，碰上了一只狮子。狮子立刻从狼口里抢走羊，大摇大摆地走了。狼不敢反抗，只好乖乖等着狮子走远了，才说："你抢走属于我的猎物，太不正当了。"狮子笑着说："那么，这东西是你正当获得的吗，无疑是朋友送给你的，对吗？",这篇文章寓意是：勿以恶小而为之，不可抢夺别人的归属物。,狼
119,鹿、狼和羊,一只鹿跑去请求羊借给他一斗麦子，并说他的朋友------狼可以作担保。然而，羊担心他们俩合伙欺骗自己，便找了个借口，说："狼有个坏习惯，抢完他想要的东西后便跑了，从不归还；而你则跑得比我快多了，所以等到你们该还账时，我怎么能追得上你们呀？",两黑不等于一白。,狼
120,狮子和三头公牛,三头公牛住在一个草场里，窥探已久的一只狮子想要吃掉他们，可是只要公牛团结一致，狮子就无法得逞。于是，狮子便在公牛之中煽风点火，不怀好意地挑拨离间，令他们产生冲突和愤恨。狮子的计谋终于得逞了，三头公牛不如以前那么友好了，相互之间很冷淡，随后互不相见，各自到草场里吃草。这时，狮子轻而易举地依次吃掉了三头公牛。,朋友间的争吵，就是在给敌人制造机会。,其他
121,马和骑手,一个年轻人自诩为骑师，爬上了一匹并没有受过良好训练的马，而且这匹马极其难以驾驭。马一感受到背上的重量，就狂奔起来，什么也挡不住他。骑手的一个朋友在路上遇见了他，大声叫道："你这是急着去哪里呀？"骑手指着马回答说："我也不知道，你问他吧。",这篇文章说明，人们不懂得如何处理未经训练的情绪、思想或行为的情况，它们会被一时的情绪所冲击，最终控制不住自己的行为。,其他
122,母山羊与葡萄藤,一只母山羊在葡萄园里闲逛，她看到一株刚刚长出几串葡萄的葡萄藤，就过去吃起了它的嫩叶。葡萄藤对母山羊说："我做过什么对不起你的事吗？难道地上没有青草吃了？即便你吃光了我所有的叶子，让我变成光秃秃的藤，当你被放在祭坛上作为祭祀品时，浇灌到你身上的葡萄酒也全是我产出来的。","这篇文章暗示, 尽管母山羊做出伤害他人的行为，敌人也可以以恩慈与宽容的态度去面对他，因为在某些情况下，即使被伤害者被做出巨大牺牲，他也能够成为伤害者的福气。",山羊
123,两口锅,两口锅被洪水冲进了河里，一口是瓦锅，另一口是铜锅。铜锅催促同伴靠近他一些，这样才能保护他。可是，瓦锅却多谢铜锅的好意，并求他不要靠近自己。瓦锅说："这正是我最担心的事情。只要你一碰我，我必定会粉身碎骨。",水平相当的两者，才会成为好朋友。,其他
124,老猎狗,一条老猎狗已经尽心尽力为主人服务了很多年，现在已经衰老了，也失去了年轻力壮时的力气和速度。有一天，当他们出去狩猎时，主人盯上了一头野猪，让老猎狗扑上去咬他。老猎狗咬住了野猪的耳朵，可是由于他的牙齿已经脱落，根本无法牢牢地咬住野猪，于是，野猪侥幸逃跑了。主人严厉地痛骂了他一顿，老猎狗打断主人的斥骂，说："主人呀，我倒是也想像以前一样强壮，但我的身体已经衰老无力了。想一想从前我为你所付出的一切，你理应称赞我，而不应该责备我。",寓意：即使老年失去了年轻时的力气，也不要忘记过去的贡献，珍惜老朋友，把应有的尊重和感恩给予他们。,狗
125,小丑和乡下人,一个富翁对外宣称要在剧场搞一次公开表演，并且还说，要重重奖励那些表演新戏法的人。这个公告吸引了一群魔术师、杂耍艺人和杂技演员，其中，一个广受欢迎的小丑说他要在台上表演一个全新的把戏。到了公开表演的那一天，还没开场，整个剧场就已被围得水泄不通。几个演员表演了他们的特技之后，小丑接着就两手空空地独自一人出现在舞台上。观众因为太期待看他的表演，全场立刻鸦雀无声。而小丑突然把头俯到胸前，学小猪叫，他叫的声音逼真得使人惊叹，以至于大家都说，他一定是把猪藏在什么地方了。然而，他却说服观众，并没有藏起猪来，接着，全场掌声雷鸣。场下有一位观众是个乡下人，看完小丑的表演后，他就宣称自己明天也要表演同样的把戏，一定会比小丑的更好。第二天，剧场里又挤满了人，小丑照样以他的模仿秀赢得了观众的欢呼和喜爱。同时站在舞台上的乡下人，早已在上台前，将一只小猪藏到了衣服里，就在观众嘲弄他是否能表演得更精彩时，他揪了一下小猪的耳朵，让他大声叫起来。然而，观众们都大喊小丑的叫声更逼真。于是，乡下人便从衣服里拿出小猪来，讽刺地说："请看这里，你们到底是什么样的裁判呀！",这篇文章寓意是：要取得成功，就要坚持耐心努力，不要只盯着别人的优点，而要把要学习的不足补足。,其他
126,百灵鸟和农夫,一只百灵鸟在绿油油的麦田里做了巢，在成熟的麦穗掩映下，正哺育着一窝小百灵鸟。虽然小百灵鸟们的羽翼还未完全丰满，但有一天，农夫来田里看庄稼，发现麦子已经变黄了，便说："我得去告诉邻居们，帮我到田里来收割庄稼。"一只小百灵鸟听到了这番话，心里非常害怕，便赶忙问妈妈是否应该立刻搬家。"不用着急，"百灵鸟说，"孩子，请朋友来帮忙是需要时间的。"过了几天，农夫又到田里来了，看到麦子早已熟透，几乎快掉下来了，便心急火燎地说："不能再拖了，我今天就得雇人，立刻开始收割。"百灵鸟听到这话后，便对小鸟们说："我的孩子们，现在我们必须要搬家了，因为他没有再提到请朋友帮忙，而是要自己亲自动手了。",自助是最好的帮助。,其他
127,狮子和驴,一只狮子和一头驴合作外出打猎。走了一会儿，他们来到几只野山羊居住的洞口。狮子守在洞口等着野山羊出来，驴则跑进洞里，为了把山羊赶出去而乱喊乱跳，吓唬他们。守候在洞口的狮子将跑出洞来的野山羊依次抓获了，等到洞里空无一只羊之后，驴跑出洞来，说："怎么样，我把他们都吓出来了，干得不错吧？""我认为你干得很好，"狮子说，"如果我不知道你是一头驴，也许就会转身走了。",这篇文章的寓意是：协作可以实现更大的成就，强者也要认识到自身的不足和他人的可贵之处。,驴
128,算命人,一个专门给人算命的人，坐在市场里靠给人算卦来谋生。忽然，有一个人跑来告诉他，他家被强盗撬门而入，家里所有的东西几乎都被偷走了。算命的人大吃一惊，立刻气得跳了起来，唉声叹气地赶回家中。旁观者都被逗笑了，其中一个人说道："这位朋友声称自己能预知将来，可是看上去他并不聪明，怎么连自己的事都没预料到呢？",这篇文章寓意是：即使一个人声称自己能预测未来，但他仍然可能无法预料自己身边发生的事情，表明无论有多么强大的明示，人们也无法掌握所有事的发展趋势。,其他
129,猎狗和野兔,一只小猎狗去抓一只野兔，就在抓兔子的过程中，猎狗一会儿用牙咬他，仿佛要咬死他；一会儿又让他挣脱出去，在周围乱蹦乱跳，仿佛在和另一只狗玩耍。最后，野兔对猎狗说："我希望你能表现出你的真实面目来！如果你是我的朋友，为什么要咬我？如果你是我的敌人，为什么还跟我玩？",两面派可不是你的朋友。,狗
130,狮子、老鼠和狐狸,一只狮子躺在自己的洞口睡着了，这时，一只老鼠跑到他的背后搔他痒，好让他赶快从梦中醒来，寻找究竟是谁在骚扰他。在旁观察的狐狸见后，心想可以和狮子开个玩笑，便开口说道："我可是第一次看见狮子惧怕老鼠。""害怕一只小老鼠？"狮子说，"我才不怕老鼠呢！只是无法忍受他的无礼。",这篇文章的寓意是：哪怕是最强大的人，也不要忘记尊重他人，比起力量，礼貌更能让自己获得尊重。,狐狸
131,被捕的号兵,有一个号兵，在战役中总是冲在大部队的前面，利用吹响号角为同志们加油。在被敌人抓获后，他说："不要杀死我，我从没杀过任何人，实际上，我没有任何武器，只有这把铜号。"然而，敌人却对他说道："那你就更应当被处死了，因为你自己虽然没去打仗，可你却召集其他人来攻打我们。",这篇文章传达的正能量是：勇气既是力量，又是尊严，即使没有武器也可以鼓舞他人的精神，实现真正的英雄行为。,其他
132,狼与鹤,有一次，一只狼的喉咙被骨头哽住了，便去找鹤，求她将长喙伸进自己的喉咙，取出那块骨头。随后，他又补充了一句："我会好好犒劳你的。"鹤按照狼的吩咐做了，很轻松地取出了那块骨头。狼热情地感谢了她，然后转身就走了。这时，鹤大喊道："你说好的报酬呢？""你说什么？"狼龇牙咧嘴地说，"你可以大肆宣传自己的头曾经伸到一只狼的嘴巴里，并且安全地拔出来了，这难道不就是给你的奖赏吗？",寓意: 通过帮别人来取得成功，而不是只为自己谋求。,狼
133,鹰、猫和野猪,一只老鹰在一棵大橡树的高枝上安了家；一只猫和她的孩子们在这棵树的树干上霸占了一个树洞；一只野猪则带着小猪崽住进了树根处的洞里。若不是猫诡计多端，他们可能会成为很好的邻居。猫先爬到老鹰的巢边，说："你和我都很危险呀！树下那头野猪，天天在树根处挖土，怕是想把这棵树连根拔掉，好轻而易举地吃掉我们的孩子。"猫用这番话吓唬了老鹰之后，又爬下来对野猪说："我必须要警告你，小心那只可怕的老鹰。她可是一直在伺机飞下来抓走你的孩子们，去喂小鹰。"猫也像吓唬老鹰那样，狠狠地吓唬了野猪一番。然后，她假装自己也很害怕，躲进了自己的树洞，当日再也没出来。到了晚上，她则偷偷地跑出去为孩子们寻找食物。老鹰吓得不敢离开自己的巢，野猪也吓得不敢走出洞来。就这样，老鹰和野猪以及他们的孩子都饿死了，而猫则用老鹰、野猪及其幼崽的尸体养大了自己的孩子。,这篇文章揭示了诡计阴险的危险，只有诚实和互信才能保证我们的幸福与安宁。,猫
134,狼和绵羊,一只狼被狗咬了，伤势很严重，他非常担心，昏倒在地上很长时间。不久，他苏醒过来，感觉饿了，正好看见一只羊从此经过，便说："你能发发善心，帮我到旁边的小河里取一点水来吗？如果你能给我一点水解渴，我就能去找点肉吃了。"可是，这只羊并不傻。"我完全明白，"他回答说，"要是我给你送来水，那你就能毫不费力地找到肉吃了。",这篇文章暗示，恩怨可以被推翻，当你给他人一点小小的帮助，也许就会得到他人大大的报答。,狼
135,金枪鱼和海豚,一条金枪鱼在水中急速穿行，而追赶他的海豚一直在后面穷追不舍，眼看着就要被海豚捉住了，金枪鱼猛然一跳，不料用劲太猛，让自己在岸边搁浅了。紧追不舍的海豚因为惯性也跟着金枪鱼一跳，同样搁浅在岸边。这时，金枪鱼看到敌人也像自己一样奄奄一息，便说："现在，死对我来说已经无所谓了，因为我已亲眼看到，那个引我致死的家伙也与我一起同归于尽了。",寓意是：不要过分紧追别人，因为最终你会和被追求者一样受到伤害。,其他
136,三个工匠,某个城镇中的居民在讨论什么样的好材料才能用于对抗敌人的进攻，从而可以确保全城人的安全。一个木匠挺身而出，主张用木头作为防御材料，既随手可得又操作简单；一个石匠毅然反对，他说木头容易被点燃，太不安全了，而他则提议用石头。接着，一个皮匠站起来，说："依我看来，没有什么能比皮子更适合做防御工事的材料了。",人们都习惯于从自身角度考虑问题，总认为自己所熟悉的东西是最好的。,其他
